,HCPID,orig.model,orig.alpha,orig.proc.temp,orig.decay,orig.decl.temp,alpha,proc.temp,proc.LL,decay,decl.temp,decl.LL,best.model,diff.LL
5937,160830_fnca,Procedural,1.4331689965189027,0.8309443875001263,,,1.5002941485676788,0.9291776883289026,-32.11873014407561,0.4209768495616386,2.7688491104019826,-43.494464910850205,Procedural,11.375734766774592
5938,160830_fnca,Procedural,0.2759436487644536,1.4976391314904562,,,0.7784591689233681,3.6671763895959564,-43.90590629250382,0.3218412239087929,4.999970920986152,-44.2113374834723,Procedural,0.30543119096847704
5939,160830_fnca,Procedural,1.1505248890519555,1.6420813016829454,,,1.1609152115783288,1.7940230303243294,-41.933606986675535,1.1941794447503897,4.999917938861492,-42.43735622321279,Procedural,0.5037492365372529
5940,160830_fnca,Declarative,,,0.30399626766579585,0.1579550158184042,0.1766737874749834,0.25223725007943404,-37.25521364654106,0.16675647072978578,3.2991135234284847,-42.61445023019613,Procedural,5.359236583655068
5941,160830_fnca,Declarative,,,1.2800575784769315,1.2778501835677303,0.9606948820725014,1.2147965583852973,-40.32270065399806,0.4069126225951892,3.8391658233720913,-43.95061031042589,Procedural,3.627909656427825
5942,160830_fnca,Declarative,,,0.9567578542210325,1.004647456007044,0.6170652339206437,0.4068272892856937,-31.32581342348751,0.5468939232185817,1.9347030814414619,-39.324105871277546,Procedural,7.9982924477900355
5943,160830_fnca,Declarative,,,0.5363969005841379,0.3245741868647871,0.414196318251361,0.279753931561127,-30.84441556619368,0.47398503112326473,2.103114171412491,-38.9918014236512,Procedural,8.147385857457518
5944,160830_fnca,Declarative,,,1.815540206659377,0.06251094461464901,0.9999971517126037,0.023518532371011862,-20.101268283157694,0.36478818156931025,1.925432545327058,-41.00014110435692,Procedural,20.898872821199227
5945,160830_fnca,Declarative,,,0.67303368160934,0.44688511559799715,0.8985154873037635,0.7487562247121047,-37.20259103207455,0.17179949640803935,1.1545693672933668,-42.22108824679451,Procedural,5.018497214719957
5946,160830_fnca,Declarative,,,0.5008892201184596,1.1844451715440698,1.2418476840194073,1.1632885975281053,-37.4489129795995,0.24138061970735358,1.0498890397469272,-41.94881522046407,Procedural,4.4999022408645715
5947,160830_fnca,Declarative,,,0.2856537652423154,1.4611854166634681,0.08564364051555802,0.32272309453132925,-43.30032736533882,0.010076551346821484,4.99999999225387,-44.41369322427767,Procedural,1.1133658589388489
5948,160830_fnca,Declarative,,,0.9260687711326446,0.3533314852313363,0.43157059301290285,0.2998242720973602,-33.18578929736301,0.4438778841862213,2.0388661707418936,-40.38729640474879,Procedural,7.20150710738578
5949,160830_fnca,Declarative,,,0.7683462485562872,1.429713818140797,0.562871861452347,1.771117619269001,-43.25567239386262,0.2915702388354109,4.999986908963964,-44.27240452414613,Procedural,1.0167321302835148
5950,160830_fnca,Declarative,,,0.015177085961124253,1.667511248104631,0.530480969696034,3.0096433830171483,-44.1178007656162,0.010000001184271287,2.9882770769321527,-44.1010850759457,Declarative,-0.016715689670505185
5951,160830_fnca,Declarative,,,1.7260653623318625,0.5191469439185057,1.0000070010028699,0.02556542013743908,-20.10126847706716,1.5076100780698862,4.9999999992651265,-41.80320239572421,Procedural,21.701933918657055
5952,160830_fnca,Declarative,,,0.5374041538896488,0.8318926520213636,0.2021161825723303,0.40422906788586427,-39.325489200639616,0.30345101343160286,2.6388939568507013,-41.915945680352614,Procedural,2.590456479712998
