,TrialType,egs,alpha,r,ResponseSwitch_mean,ResponseSwitch_std,HCPID,ResponseSwitch,PSwitch_z,PSwitch_probz,PSwitch_logprobz
125,Punishment,0.05,0.3,1,0.16,0.3667527860628574,109123_fnca,0.32,-0.43626117123096037,0.362728579973336,-1.0141004379665772
235,Reward,0.05,0.3,1,0.14,0.3471259096029771,109123_fnca,0.24,-0.2880799077037329,0.3827269188149775,-0.9604335498159683
126,Punishment,0.05,0.35,1,0.1496,0.356821660438217,109123_fnca,0.32,-0.4775494844980254,0.35594990003338484,-1.0329652882768374
236,Reward,0.05,0.35,1,0.1376,0.3446175401792535,109123_fnca,0.24,-0.29714099853053455,0.3817135122368692,-0.9630849197085342
127,Punishment,0.05,0.4,1,0.1536,0.3607092026870434,109123_fnca,0.32,-0.46131343131927555,0.3586732133851754,-1.0253435741624546
237,Reward,0.05,0.4,1,0.1376,0.3446175401792534,109123_fnca,0.24,-0.2971409985305346,0.3817135122368692,-0.9630849197085342
128,Punishment,0.05,0.45,1,0.1512,0.3583870994475673,109123_fnca,0.32,-0.4709990963965927,0.3570574422060827,-1.0298586076078762
238,Reward,0.05,0.45,1,0.1392,0.3462936549178298,109123_fnca,0.24,-0.2910824341379235,0.38239429190747476,-0.9613030249365019
129,Punishment,0.05,0.5,1,0.14,0.3471259096029771,109123_fnca,0.32,-0.5185438338667193,0.34875612369268755,-1.0533823870252705
239,Reward,0.05,0.5,1,0.132,0.3386262455678088,109123_fnca,0.24,-0.3189357039319427,0.37915942161891103,-0.9697985248259545
130,Punishment,0.1,0.05,1,0.656,0.4752311813639678,109123_fnca,0.32,0.7070243140099554,0.31071467752815823,-1.1688802235052966
240,Reward,0.1,0.05,1,0.4712,0.4993696587146995,109123_fnca,0.24,0.46298367545011276,0.35839646003260134,-1.0261154750713202
131,Punishment,0.1,0.1,1,0.572,0.494986878217682,109123_fnca,0.32,0.5091044047619725,0.3504517716543772,-1.0485321806786938
241,Reward,0.1,0.1,1,0.3232,0.4678855560014779,109123_fnca,0.24,0.17782126191503375,0.3926845214843724,-0.9347487337992001
132,Punishment,0.1,0.15,1,0.308,0.4618513238221286,109123_fnca,0.32,-0.02598238736373425,0.39880764325997586,-0.9192760754312321
242,Reward,0.1,0.15,1,0.1896,0.392141377423896,109123_fnca,0.24,-0.1285250751427813,0.39566084738881363,-0.9271978806749015
133,Punishment,0.1,0.2,1,0.1952,0.3965132257448073,109123_fnca,0.32,-0.3147435997010608,0.37966336518397426,-0.9684702999810635
243,Reward,0.1,0.2,1,0.136,0.3429257623200255,109123_fnca,0.24,-0.3032726363175509,0.38101151577759135,-0.9649256791741714
134,Punishment,0.1,0.25,1,0.1888,0.3915062984747451,109123_fnca,0.32,-0.335115936860115,0.3771584535005201,-0.975089878773489
244,Reward,0.1,0.25,1,0.14,0.3471259096029772,109123_fnca,0.24,-0.2880799077037329,0.3827269188149775,-0.9604335498159683
135,Punishment,0.1,0.3,1,0.1512,0.3583870994475669,109123_fnca,0.32,-0.4709990963965932,0.35705744220608265,-1.0298586076078764
245,Reward,0.1,0.3,1,0.1376,0.3446175401792539,109123_fnca,0.24,-0.2971409985305342,0.3817135122368693,-0.963084919708534
136,Punishment,0.1,0.35,1,0.1384,0.3454575411395502,109123_fnca,0.32,-0.5256796519796954,0.3474591824480695,-1.0571080814574194
246,Reward,0.1,0.35,1,0.14,0.3471259096029774,109123_fnca,0.24,-0.28807990770373265,0.3827269188149775,-0.9604335498159683
137,Punishment,0.1,0.4,1,0.128,0.3342235244434974,109123_fnca,0.32,-0.5744658468301768,0.33825878586675795,-1.0839440377918286
247,Reward,0.1,0.4,1,0.136,0.3429257623200248,109123_fnca,0.24,-0.30327263631755147,0.3810115157775913,-0.9649256791741715
138,Punishment,0.1,0.45,1,0.1264,0.3324326234883206,109123_fnca,0.32,-0.5823736490374922,0.3367151134768757,-1.0885180667512948
248,Reward,0.1,0.45,1,0.1344,0.3412180883644091,109123_fnca,0.24,-0.30947949010025183,0.3802876607760377,-0.9668273106010286
139,Punishment,0.1,0.5,1,0.1256,0.33153064723498,109123_fnca,0.32,-0.5863711292495216,0.3359294592348729,-1.090854083813352
249,Reward,0.1,0.5,1,0.1184,0.32321047633022,109123_fnca,0.24,-0.3762254286453352,0.37168397334573544,-0.9897113197843558
140,Punishment,0.15,0.05,1,0.5688,0.4954421564060483,109123_fnca,0.32,0.5021776947783417,0.35168135607920453,-1.0450297517711173
250,Reward,0.15,0.05,1,0.4776,0.4996979071386223,109123_fnca,0.24,0.4754872826275154,0.35629985576815904,-1.031982611174922
141,Punishment,0.15,0.1,1,0.5368,0.4988434983726814,109123_fnca,0.32,0.4346052433423333,0.3629902182772469,-1.013379391974997
251,Reward,0.15,0.1,1,0.376,0.4845738844382594,109123_fnca,0.24,0.28065895494483273,0.383535437219265,-0.9583232577000355
142,Punishment,0.15,0.15,1,0.3104,0.462842541880994,109123_fnca,0.32,-0.02074139503466029,0.39885647605491903,-0.9191536359386645
252,Reward,0.15,0.15,1,0.2232,0.4165580109194501,109123_fnca,0.24,-0.04033051714194161,0.3986179623938654,-0.9197518085111409
143,Punishment,0.15,0.2,1,0.2064,0.404882926470502,109123_fnca,0.32,-0.2805749330807517,0.38354448030858307,-0.9582996797413068
253,Reward,0.15,0.2,1,0.1368,0.3437736235422879,109123_fnca,0.24,-0.30019755133222215,0.38136520558731035,-0.9639978181176038
144,Punishment,0.15,0.25,1,0.184,0.3876392799615323,109123_fnca,0.32,-0.35084163816808267,0.3751296945239478,-0.9804834607409045
254,Reward,0.15,0.25,1,0.132,0.3386262455678085,109123_fnca,0.24,-0.3189357039319429,0.37915942161891103,-0.9697985248259545
145,Punishment,0.15,0.3,1,0.1288,0.3351125188951561,109123_fnca,0.32,-0.5705546323079002,0.33901706710426227,-1.0817048274286742
255,Reward,0.15,0.3,1,0.1328,0.3394942784379048,109123_fnca,0.24,-0.3157637898737295,0.37954127797175086,-0.968791918702383
146,Punishment,0.15,0.35,1,0.1336,0.3403582156669316,109123_fnca,0.32,-0.5476582947608577,0.3433848884674066,-1.068903337114858
256,Reward,0.15,0.35,1,0.128,0.3342235244434977,109123_fnca,0.24,-0.33510507731760275,0.37715982603799597,-0.9750862396266908
147,Punishment,0.15,0.4,1,0.1128,0.3164747778702474,109123_fnca,0.32,-0.6547125220985245,0.32198098869488206,-1.1332627765009782
257,Reward,0.15,0.4,1,0.1264,0.3324326234883203,109123_fnca,0.24,-0.3417233808401816,0.3763160358663134,-0.9773259677110945
