,HCPID,LL.m1,LL.m2,LL.diff,BestModel
83,112819_fnca,-1.8495110136999884,-1.8439250320611469,-0.005585981638841497,model2
140,113215_fnca,-1.9700254671703428,-2.047430593864725,0.07740512669438204,model1
115,113619_fnca,-1.8972274158904368,-1.8429657948864984,-0.05426162100393839,model2
162,113821_fnca,-1.8563876886555133,-1.839763181364267,-0.016624507291246315,model2
127,113922_fnca,-2.1441755547694217,-2.0555556265927724,-0.08861992817664932,model2
148,114419_fnca,-1.8801868704881883,-1.838270150086545,-0.04191672040164329,model2
1,114924_fnca,-2.112944952679825,-1.9048787278035733,-0.2080662248762517,model2
123,115320_fnca,-1.923307543989276,-1.840968002719661,-0.08233954126961485,model2
73,116524_fnca,-1.8445955590803813,-1.8419100679530132,-0.002685491127368156,model2
149,117122_fnca,-1.9789826208836363,-1.8674676839501951,-0.11151493693344117,model2
121,117324_fnca,-2.0598055658305183,-1.870915673257276,-0.1888898925732423,model2
72,118528_fnca,-1.865684639409306,-1.8803726013047288,0.014687961895422763,model1
39,118730_fnca,-1.8802112516271128,-1.8476155931128304,-0.032595658514282366,model2
145,118932_fnca,-1.8522229644882948,-1.8467182857328608,-0.005504678755434034,model2
97,119833_fnca,-1.8869126818305668,-1.878795475766021,-0.008117206064545801,model2
51,120111_fnca,-1.8448385061863517,-1.846053952250111,0.001215446063759229,model1
106,120212_fnca,-1.915211141449578,-1.8847563074225864,-0.030454834026991673,model2
12,120515_fnca,-1.8795029811669253,-1.8379733212459963,-0.04152965992092894,model2
75,121315_fnca,-1.9112895169196824,-1.8518585887488128,-0.05943092817086959,model2
77,121618_fnca,-1.873890354853637,-1.840806608131091,-0.03308374672254599,model2
198,122317_fnca,-2.05206999538774,-1.8869057413210388,-0.16516425406670132,model2
71,122620_fnca,-2.0359662421014013,-1.9006733117477523,-0.13529293035364898,model2
8,123117_fnca,-1.8513046167501856,-1.8419919952836352,-0.00931262146655043,model2
107,123420_fnca,-1.9599556803201663,-1.9103437129443912,-0.04961196737577511,model2
79,123925_fnca,-1.9033527118201183,-1.8828485355851392,-0.020504176234979132,model2
143,124220_fnca,-2.0062232945815888,-1.8881855302768955,-0.11803776430469326,model2
18,124422_fnca,-1.920152163880894,-1.847985247894515,-0.07216691598637914,model2
183,124826_fnca,-1.9874146342732832,-1.864031789052726,-0.1233828452205572,model2
85,125525_fnca,-2.121605793730857,-1.8463791464306447,-0.27522664730021207,model2
36,126325_fnca,-1.8420923125993545,-1.8409779724182909,-0.0011143401810636,model2
195,126628_fnca,-1.878995310133334,-1.864105820017588,-0.01488949011574614,model2
168,127630_fnca,-1.8680649133058087,-1.8630798355996083,-0.00498507770620038,model2
146,127933_fnca,-1.887384786911937,-1.936569488502228,0.04918470159029109,model1
