,TrialType,egs,alpha,r,ResponseSwitch_mean,ResponseSwitch_std,HCPID,ResponseSwitch,PSwitch_z,PSwitch_probz,PSwitch_logprobz
132,Punishment,0.1,0.15,1,0.3048,0.4605069090585205,130316_fnca,0.28,0.05385369798403707,0.39836418930356104,-0.9203886435979506
242,Reward,0.1,0.15,1,0.18,0.3843412214941715,130316_fnca,0.76,-1.5090757055545128,0.12776108587815715,-2.057593275752098
133,Punishment,0.1,0.2,1,0.2,0.4001600960640449,130316_fnca,0.28,-0.1999199839935968,0.3910489507086133,-0.9389225332046726
243,Reward,0.1,0.2,1,0.1352,0.3420739271814292,130316_fnca,0.76,-1.8265057648448564,0.07524542400925541,-2.58700018771042
134,Punishment,0.1,0.25,1,0.1864,0.3895849858104585,130316_fnca,0.28,-0.24025566541093152,0.3875928191485402,-0.9477999255856974
244,Reward,0.1,0.25,1,0.1376,0.3446175401792536,130316_fnca,0.76,-1.806060131693405,0.07809219736299726,-2.5498651328508726
135,Punishment,0.1,0.3,1,0.1392,0.3462936549178298,130316_fnca,0.28,-0.4065913365736075,0.3672924834526502,-1.001596790693029
245,Reward,0.1,0.3,1,0.1384,0.3454575411395504,130316_fnca,0.76,-1.7993528175692644,0.07904216661810591,-2.537773814251898
136,Punishment,0.1,0.35,1,0.1392,0.3462936549178299,130316_fnca,0.28,-0.40659133657360746,0.3672924834526502,-1.001596790693029
246,Reward,0.1,0.35,1,0.1408,0.3479543328861122,130316_fnca,0.76,-1.7795438696338013,0.08189423140818057,-2.5023267251802945
137,Punishment,0.1,0.4,1,0.1248,0.3306242730471288,130316_fnca,0.28,-0.4694150207715604,0.357323493206282,-1.029113764067655
247,Reward,0.1,0.4,1,0.1368,0.3437736235422878,130316_fnca,0.76,-1.8128208719984584,0.0771427027259873,-2.5620982901812983
138,Punishment,0.1,0.45,1,0.1288,0.335112518895156,130316_fnca,0.28,-0.4511917385196367,0.36033341417491116,-1.0207255256588588
248,Reward,0.1,0.45,1,0.1408,0.347954332886112,130316_fnca,0.76,-1.7795438696338024,0.0818942314081804,-2.5023267251802963
139,Punishment,0.1,0.5,1,0.1264,0.3324326234883202,130316_fnca,0.28,-0.46204851493883736,0.35855150963144483,-1.0256829482832652
249,Reward,0.1,0.5,1,0.1264,0.3324326234883208,130316_fnca,0.76,-1.9059501241227004,0.06487704141934256,-2.735261471026341
140,Punishment,0.15,0.05,1,0.5808,0.4936256608346328,130316_fnca,0.28,0.6093686448378736,0.33134219831940054,-1.104603605860446
250,Reward,0.15,0.05,1,0.4952,0.5001770703274443,130316_fnca,0.76,-0.5294125135057609,0.3467756194793672,-1.0590773379329164
141,Punishment,0.15,0.1,1,0.544,0.4982595810298787,130316_fnca,0.28,0.5298443021493427,0.3466963252859959,-1.0593060254647346
251,Reward,0.15,0.1,1,0.3528,0.4780323963682604,130316_fnca,0.76,-0.8518251128869235,0.277553507468386,-1.2817415446770826
142,Punishment,0.15,0.15,1,0.3264,0.4690832242331906,130316_fnca,0.28,0.09891634917417902,0.3969953325076879,-0.9238307552716467
252,Reward,0.15,0.15,1,0.2328,0.4227850017753481,130316_fnca,0.76,-1.2469694946277543,0.1833414544379072,-1.696404993470771
143,Punishment,0.15,0.2,1,0.1976,0.3983480700944319,130316_fnca,0.28,-0.20685427189459304,0.39049782554476176,-0.9403328781051937
253,Reward,0.15,0.2,1,0.1368,0.3437736235422878,130316_fnca,0.76,-1.8128208719984584,0.0771427027259873,-2.5620982901812983
144,Punishment,0.15,0.25,1,0.1824,0.3863284091440459,130316_fnca,0.28,-0.2526347990204598,0.38641216120441607,-0.9508507040427268
254,Reward,0.15,0.25,1,0.1368,0.3437736235422879,130316_fnca,0.76,-1.812820871998458,0.07714270272598737,-2.5620982901812974
145,Punishment,0.15,0.3,1,0.1504,0.3576061321014686,130316_fnca,0.28,-0.3624098928013539,0.37358527081993204,-0.9846089984048172
255,Reward,0.15,0.3,1,0.1336,0.3403582156669313,130316_fnca,0.76,-1.8404139261706094,0.07335091918153717,-2.612500243026031
146,Punishment,0.15,0.35,1,0.1288,0.3351125188951559,130316_fnca,0.28,-0.4511917385196368,0.36033341417491116,-1.0207255256588588
256,Reward,0.15,0.35,1,0.1344,0.3412180883644091,130316_fnca,0.76,-1.8334315246848254,0.0742977870965914,-2.5996741110587345
147,Punishment,0.15,0.4,1,0.1152,0.3193909335825985,130316_fnca,0.28,-0.5159820855008105,0.34921856589769906,-1.0520572894835556
257,Reward,0.15,0.4,1,0.132,0.3386262455678089,130316_fnca,0.76,-1.8545520561968516,0.07145980195676044,-2.6386201977766577
148,Punishment,0.15,0.45,1,0.1264,0.3324326234883206,130316_fnca,0.28,-0.4620485149388368,0.3585515096314449,-1.025682948283265
258,Reward,0.15,0.45,1,0.1256,0.3315306472349802,130316_fnca,0.76,-1.913548582283417,0.06394239867521062,-2.74977262158411
149,Punishment,0.15,0.5,1,0.1104,0.3135131135660873,130316_fnca,0.28,-0.5409662073489281,0.34463797802465995,-1.0652607519514143
259,Reward,0.15,0.5,1,0.12,0.3250915988427114,130316_fnca,0.76,-1.9686759125068942,0.05745340787652562,-2.856780957447099
150,Punishment,0.2,0.05,1,0.5976,0.4905779993219579,130316_fnca,0.28,0.6473995989199764,0.3235176349494876,-1.1285016535455459
260,Reward,0.2,0.05,1,0.4896,0.5000919050842804,130316_fnca,0.76,-0.5407006137290497,0.3446874860353851,-1.0651171100481582
151,Punishment,0.2,0.1,1,0.5384,0.4987227882658139,130316_fnca,0.28,0.5181235068454011,0.3488321153443296,-1.053164517377561
261,Reward,0.2,0.1,1,0.364,0.4813412006894744,130316_fnca,0.76,-0.8227012344523357,0.2844046605759776,-1.257357193789371
152,Punishment,0.2,0.15,1,0.3304,0.4705453967220387,130316_fnca,0.28,0.10710975041112211,0.3966603989954794,-0.924674782521239
262,Reward,0.2,0.15,1,0.2528,0.4347912081859202,130316_fnca,0.76,-1.1665369272672073,0.20202926122067405,-1.5993427345436815
153,Punishment,0.2,0.2,1,0.2168,0.4122301626101281,130316_fnca,0.28,-0.1533124107169524,0.394281214912727,-0.9306908808445944
