,TrialType,ans,bll,lf,ResponseSwitch_mean,ResponseSwitch_std,HCPID,ResponseSwitch,PSwitch_z,PSwitch_probz,PSwitch_logprobz
172,Punishment,0.1,0.35,0.1,0.1408,0.3479543328861122,118932_fnca,0.4583333333333333,-0.9125718616565242,0.2630707597405391,-1.3353322345482999
315,Reward,0.1,0.35,0.1,0.14,0.347125909602977,118932_fnca,0.52,-1.0947036492741855,0.21912201174021104,-1.5181265730717821
173,Punishment,0.1,0.4,0.1,0.1344,0.3412180883644092,118932_fnca,0.4583333333333333,-0.9493439661597999,0.25421738888646944,-1.3695655162466822
316,Reward,0.1,0.4,0.1,0.1264,0.3324326234883207,118932_fnca,0.52,-1.183999319530769,0.1979252732149293,-1.6198657275293347
174,Punishment,0.1,0.45,0.1,0.176,0.3809725870580082,118932_fnca,0.4583333333333333,-0.7410856920535973,0.30314545635407997,-1.1935425346879525
317,Reward,0.1,0.45,0.1,0.168,0.3740159225598058,118932_fnca,0.52,-0.9411364029394084,0.2561973078250815,-1.361807397673537
175,Punishment,0.1,0.5,0.1,0.1824,0.3863284091440462,118932_fnca,0.4583333333333333,-0.714245514443772,0.30912428669005076,-1.174011860656197
318,Reward,0.1,0.5,0.1,0.2024,0.4019496122558572,118932_fnca,0.52,-0.7901487905848128,0.2919694548580595,-1.2311060888359937
176,Punishment,0.1,0.55,0.1,0.136,0.3429257623200246,118932_fnca,0.4583333333333333,-0.9399507670483093,0.25648316361794743,-1.360692255442025
319,Reward,0.1,0.55,0.1,0.1344,0.3412180883644091,118932_fnca,0.52,-1.1300690471842532,0.21066911348925885,-1.5574665589066357
177,Punishment,0.1,0.6,0.1,0.128,0.3342235244434975,118932_fnca,0.4583333333333333,-0.9883605107790016,0.24478701260430089,-1.407366782838337
320,Reward,0.1,0.6,0.1,0.1408,0.347954332886112,118932_fnca,0.52,-1.0897981837292279,0.22029921823145804,-1.5127685738344345
178,Punishment,0.1,0.65,0.1,0.1288,0.3351125188951556,118932_fnca,0.4583333333333333,-0.98335130665898,0.2459988471707217,-1.4024284293586342
321,Reward,0.1,0.65,0.1,0.1376,0.3446175401792534,118932_fnca,0.52,-1.1096359163874654,0.21554523879359486,-1.5345844666731976
179,Punishment,0.1,0.7,0.1,0.1592,0.3660089206891258,118932_fnca,0.4583333333333333,-0.8172842693837123,0.28567075954423443,-1.252915321695707
322,Reward,0.1,0.7,0.1,0.184,0.3876392799615322,118932_fnca,0.52,-0.8667852237093809,0.27400830982509466,-1.2945968452251335
180,Punishment,0.1,0.75,0.1,0.1016,0.3022424861205539,118932_fnca,0.4583333333333333,-1.1802885091113398,0.1987954215266726,-1.6154790155748073
323,Reward,0.1,0.75,0.1,0.0912,0.2880085400388472,118932_fnca,0.52,-1.4888447403058347,0.13169483833828124,-2.027267863572847
181,Punishment,0.1,0.8,0.1,0.1544,0.3614763783952005,118932_fnca,0.4583333333333333,-0.840811050178898,0.280152790508121,-1.2724201442561434
324,Reward,0.1,0.8,0.1,0.1584,0.3652617868575231,118932_fnca,0.52,-0.9899748974864666,0.24439642436943618,-1.4089636820313427
182,Punishment,0.15,0.2,0.1,0.1976,0.3983480700944315,118932_fnca,0.4583333333333333,-0.6545364541907394,0.322018101835641,-1.1331475181369657
325,Reward,0.15,0.2,0.1,0.1816,0.3856688117360236,118932_fnca,0.52,-0.8774367791804297,0.2714747396407331,-1.3038861839339357
183,Punishment,0.15,0.25,0.1,0.1248,0.3306242730471288,118932_fnca,0.4583333333333333,-1.0087986893986753,0.23984175408990946,-1.427775931070915
326,Reward,0.15,0.25,0.1,0.1368,0.3437736235422882,118932_fnca,0.52,-1.1146870316909636,0.21433777455847333,-1.5402021225146783
184,Punishment,0.15,0.3,0.1,0.1528,0.3599386123267616,118932_fnca,0.4583333333333333,-0.8488484504573303,0.27825693121032535,-1.279210379126578
