,TrialType,ans,bll,lf,ResponseSwitch_mean,ResponseSwitch_std
34,Neutral,0.1,0.6,0.1,0.14166666666666666,0.3489988862349146
35,Neutral,0.1,0.65,0.1,0.16333333333333333,0.3699779656240372
36,Neutral,0.1,0.7,0.1,0.15333333333333332,0.3606091427181359
37,Neutral,0.1,0.75,0.1,0.15333333333333332,0.3606091427181358
38,Neutral,0.1,0.8,0.1,0.12,0.32523267643802106
39,Neutral,0.15,0.2,0.1,0.13666666666666666,0.34378171174614197
40,Neutral,0.15,0.25,0.1,0.14,0.34727654926506196
41,Neutral,0.15,0.3,0.1,0.175,0.38028413944205636
42,Neutral,0.15,0.35,0.1,0.18666666666666668,0.3899688214353918
43,Neutral,0.15,0.4,0.1,0.16666666666666666,0.37298894999304916
44,Neutral,0.15,0.45,0.1,0.19166666666666668,0.3939406100280485
45,Neutral,0.15,0.5,0.1,0.195,0.3965312872518587
46,Neutral,0.15,0.55,0.1,0.17833333333333334,0.38311249112627976
47,Neutral,0.15,0.6,0.1,0.18666666666666668,0.38996882143539163
48,Neutral,0.15,0.65,0.1,0.12666666666666668,0.33287670448611756
49,Neutral,0.15,0.7,0.1,0.155,0.3622066483286705
50,Neutral,0.15,0.75,0.1,0.19,0.3926282315545962
51,Neutral,0.15,0.8,0.1,0.205,0.404038461614865
52,Neutral,0.2,0.2,0.1,0.18333333333333332,0.3872624121298588
53,Neutral,0.2,0.25,0.1,0.19,0.3926282315545962
54,Neutral,0.2,0.3,0.1,0.15333333333333332,0.3606091427181358
55,Neutral,0.2,0.35,0.1,0.17,0.3759462185811189
56,Neutral,0.2,0.4,0.1,0.18833333333333332,0.39130434110527734
57,Neutral,0.2,0.45,0.1,0.20333333333333334,0.4028142513500569
58,Neutral,0.2,0.5,0.1,0.15833333333333333,0.36535786041336527
59,Neutral,0.2,0.55,0.1,0.20166666666666666,0.40157938055512005
60,Neutral,0.2,0.6,0.1,0.16,0.36691194305527103
61,Neutral,0.2,0.65,0.1,0.22666666666666666,0.41902449184205753
62,Neutral,0.2,0.7,0.1,0.17166666666666666,0.37740510495261725
63,Neutral,0.2,0.75,0.1,0.17833333333333334,0.38311249112628004
64,Neutral,0.2,0.8,0.1,0.21166666666666667,0.408830600193993
65,Neutral,0.25,0.2,0.1,0.21666666666666667,0.4123173108544835
66,Neutral,0.25,0.25,0.1,0.22833333333333333,0.4201087650990836
67,Neutral,0.25,0.3,0.1,0.27666666666666667,0.4477234817187497
68,Neutral,0.25,0.35,0.1,0.18166666666666667,0.38589127443062476
69,Neutral,0.25,0.4,0.1,0.21333333333333335,0.4100029181323193
70,Neutral,0.25,0.45,0.1,0.26,0.43900023007207967
71,Neutral,0.25,0.5,0.1,0.20833333333333334,0.40645528501926137
72,Neutral,0.25,0.55,0.1,0.21833333333333332,0.41345955492827996
73,Neutral,0.25,0.6,0.1,0.18,0.38450801120974576
74,Neutral,0.25,0.65,0.1,0.23333333333333334,0.4233054863572988
75,Neutral,0.25,0.7,0.1,0.175,0.3802841394420563
76,Neutral,0.25,0.75,0.1,0.22166666666666668,0.4157145493401823
77,Neutral,0.25,0.8,0.1,0.16333333333333333,0.3699779656240372
78,Neutral,0.3,0.2,0.1,0.24833333333333332,0.43240665437386616
79,Neutral,0.3,0.25,0.1,0.2966666666666667,0.4571694383718042
80,Neutral,0.3,0.3,0.1,0.285,0.45179109330158823
81,Neutral,0.3,0.35,0.1,0.26666666666666666,0.44258561386269574
82,Neutral,0.3,0.4,0.1,0.2833333333333333,0.4509928452496033
83,Neutral,0.3,0.45,0.1,0.2783333333333333,0.44855236140696175
84,Neutral,0.3,0.5,0.1,0.245,0.43044605509158357
85,Neutral,0.3,0.55,0.1,0.24,0.4274394781867031
86,Neutral,0.3,0.6,0.1,0.29833333333333334,0.457908312066205
87,Neutral,0.3,0.65,0.1,0.25666666666666665,0.43715832512290403
88,Neutral,0.3,0.7,0.1,0.245,0.43044605509158324
89,Neutral,0.3,0.75,0.1,0.28,0.4493735205092659
90,Neutral,0.3,0.8,0.1,0.275,0.44688683848451427
91,Neutral,0.35,0.2,0.1,0.335,0.47238428373433305
92,Neutral,0.35,0.25,0.1,0.2833333333333333,0.45099284524960365
93,Neutral,0.35,0.3,0.1,0.355,0.47891258294547445
94,Neutral,0.35,0.35,0.1,0.3,0.45863992881908855
95,Neutral,0.35,0.4,0.1,0.28833333333333333,0.45336496174324026
96,Neutral,0.35,0.45,0.1,0.27166666666666667,0.44519008589198916
97,Neutral,0.35,0.5,0.1,0.3616666666666667,0.4808838782868645
98,Neutral,0.35,0.55,0.1,0.295,0.45642327249252757
99,Neutral,0.35,0.6,0.1,0.31833333333333336,0.4662182836779514
100,Neutral,0.35,0.65,0.1,0.32,0.46686536830246933
101,Neutral,0.35,0.7,0.1,0.25666666666666665,0.4371583251229043
102,Neutral,0.35,0.75,0.1,0.34,0.4741040227354716
103,Neutral,0.35,0.8,0.1,0.285,0.4517910933015883
104,Neutral,0.4,0.2,0.1,0.32166666666666666,0.46750560571453387
105,Neutral,0.4,0.25,0.1,0.335,0.472384283734333
106,Neutral,0.4,0.3,0.1,0.34,0.4741040227354717
107,Neutral,0.4,0.35,0.1,0.32166666666666666,0.46750560571453365
108,Neutral,0.4,0.4,0.1,0.32,0.46686536830246933
109,Neutral,0.4,0.45,0.1,0.345,0.47576491438131535
110,Neutral,0.4,0.5,0.1,0.3516666666666667,0.4778889536027325
111,Neutral,0.4,0.55,0.1,0.2866666666666667,0.4525817856218735
112,Neutral,0.4,0.6,0.1,0.34,0.4741040227354716
113,Neutral,0.4,0.65,0.1,0.38666666666666666,0.48739252628658797
114,Neutral,0.4,0.7,0.1,0.35,0.4773675729101322
115,Neutral,0.4,0.75,0.1,0.33166666666666667,0.4712047808168584
116,Neutral,0.4,0.8,0.1,0.3466666666666667,0.47630557476947816
117,Neutral,0.45,0.2,0.1,0.375,0.48452685903729587
118,Neutral,0.45,0.25,0.1,0.3883333333333333,0.48777771650971097
119,Neutral,0.45,0.3,0.1,0.40166666666666667,0.4906442450297943
120,Neutral,0.45,0.35,0.1,0.36333333333333334,0.4813609902076732
121,Neutral,0.45,0.4,0.1,0.39166666666666666,0.48853009970668276
122,Neutral,0.45,0.45,0.1,0.41833333333333333,0.49369705643046163
123,Neutral,0.45,0.5,0.1,0.405,0.4913016339200265
124,Neutral,0.45,0.55,0.1,0.38666666666666666,0.48739252628658786
125,Neutral,0.45,0.6,0.1,0.39166666666666666,0.48853009970668243
126,Neutral,0.45,0.65,0.1,0.33,0.4706050522380594
127,Neutral,0.45,0.7,0.1,0.37,0.4832071487270944
128,Neutral,0.45,0.75,0.1,0.35833333333333334,0.47991083850065963
129,Neutral,0.45,0.8,0.1,0.375,0.4845268590372956
130,Neutral,0.5,0.2,0.1,0.39166666666666666,0.4885300997066826
131,Neutral,0.5,0.25,0.1,0.4,0.4903067078672621
132,Neutral,0.5,0.3,0.1,0.40166666666666667,0.49064424502979476
133,Neutral,0.5,0.35,0.1,0.42833333333333334,0.49525011527849366
134,Neutral,0.5,0.4,0.1,0.39,0.48815690298976694
135,Neutral,0.5,0.45,0.1,0.36,0.48040050069545864
136,Neutral,0.5,0.5,0.1,0.39666666666666667,0.48961388714615306
137,Neutral,0.5,0.55,0.1,0.3983333333333333,0.4899632593859824
138,Neutral,0.5,0.6,0.1,0.4483333333333333,0.4977383462467299
139,Neutral,0.5,0.65,0.1,0.395,0.48925857845757176
140,Neutral,0.5,0.7,0.1,0.38333333333333336,0.486604077358989
141,Neutral,0.5,0.75,0.1,0.37666666666666665,0.4849544896006865
142,Neutral,0.5,0.8,0.1,0.395,0.48925857845757187
143,Punishment,0.0,0.2,0.1,0.1616,0.36815710758091447
144,Punishment,0.0,0.25,0.1,0.1724,0.37780330085065905
145,Punishment,0.0,0.3,0.1,0.1964,0.3973539934094432
146,Punishment,0.0,0.35,0.1,0.17,0.37570794852522615
147,Punishment,0.0,0.4,0.1,0.1328,0.33942634561512625
148,Punishment,0.0,0.45,0.1,0.1544,0.3614040469530764
149,Punishment,0.0,0.5,0.1,0.152,0.35909271648365815
150,Punishment,0.0,0.55,0.1,0.1188,0.3236177550452887
151,Punishment,0.0,0.6,0.1,0.1508,0.3579254171495743
152,Punishment,0.0,0.65,0.1,0.1868,0.3898288683751464
153,Punishment,0.0,0.7,0.1,0.1468,0.353977230838342
154,Punishment,0.0,0.75,0.1,0.1568,0.3636848452529563
155,Punishment,0.0,0.8,0.1,0.1384,0.34538841506759455
156,Punishment,0.05,0.2,0.1,0.1164,0.3207681356973463
157,Punishment,0.05,0.25,0.1,0.1372,0.3441271994652045
158,Punishment,0.05,0.3,0.1,0.1408,0.3478847072059984
159,Punishment,0.05,0.35,0.1,0.16,0.3666793988112847
160,Punishment,0.05,0.4,0.1,0.17,0.37570794852522604
161,Punishment,0.05,0.45,0.1,0.1712,0.37675899317146255
162,Punishment,0.05,0.5,0.1,0.164,0.37034965039192114
163,Punishment,0.05,0.55,0.1,0.1872,0.3901500311658674
164,Punishment,0.05,0.6,0.1,0.1228,0.32827315654211253
165,Punishment,0.05,0.65,0.1,0.1176,0.3221983313207603
166,Punishment,0.05,0.7,0.1,0.1632,0.3696219800867709
167,Punishment,0.05,0.75,0.1,0.148,0.3551710272297465
168,Punishment,0.05,0.8,0.1,0.1472,0.3543760614900262
169,Punishment,0.1,0.2,0.1,0.1416,0.3487091613819353
170,Punishment,0.1,0.25,0.1,0.1444,0.35156518489704436
171,Punishment,0.1,0.3,0.1,0.1184,0.32314580189709047
172,Punishment,0.1,0.35,0.1,0.18,0.3842643147957538
173,Punishment,0.1,0.4,0.1,0.1324,0.33899292984160156
174,Punishment,0.1,0.45,0.1,0.166,0.37215507488129707
175,Punishment,0.1,0.5,0.1,0.16,0.3666793988112848
176,Punishment,0.1,0.55,0.1,0.144,0.3511599711386992
177,Punishment,0.1,0.6,0.1,0.1488,0.3559624189398075
178,Punishment,0.1,0.65,0.1,0.1592,0.3659356822850539
179,Punishment,0.1,0.7,0.1,0.1372,0.34412719946520476
180,Punishment,0.1,0.75,0.1,0.1676,0.3735854205219614
181,Punishment,0.1,0.8,0.1,0.1456,0.3527753111657154
182,Punishment,0.15,0.2,0.1,0.1404,0.3474710555625915
183,Punishment,0.15,0.25,0.1,0.1384,0.3453884150675951
184,Punishment,0.15,0.3,0.1,0.1728,0.37814991596399544
185,Punishment,0.15,0.35,0.1,0.194,0.3955079905997496
186,Punishment,0.15,0.4,0.1,0.1604,0.36705003785875995
187,Punishment,0.15,0.45,0.1,0.1904,0.39269520471928876
188,Punishment,0.15,0.5,0.1,0.19,0.3923793886455469
