,TrialType,ans,bll,lf,ResponseSwitch_mean,ResponseSwitch_std,HCPID,ResponseSwitch,PSwitch_z,PSwitch_probz,PSwitch_logprobz
300,Reward,0.05,0.25,0.1,0.1584,0.3652617868575232,113215_fnca,0.56,-1.0994853949960313,0.21797550168285593,-1.523372600109462
158,Punishment,0.05,0.3,0.1,0.1552,0.3622401611465493,113215_fnca,0.1739130434782608,-0.051659218069666724,0.3984103117856843,-0.9202728706104573
301,Reward,0.05,0.3,0.1,0.1472,0.3544469863504362,113215_fnca,0.56,-1.1646311462551726,0.20247853731543294,-1.5971213866184915
159,Punishment,0.05,0.35,0.1,0.2064,0.404882926470502,113215_fnca,0.1739130434782608,0.08023790186693894,0.39766012585922106,-0.9221575936526769
302,Reward,0.05,0.35,0.1,0.2,0.4001600960640445,113215_fnca,0.56,-0.8996399279711864,0.2661714754875129,-1.3236145332046734
160,Punishment,0.05,0.4,0.1,0.192,0.3940307198259206,113215_fnca,0.1739130434782608,0.04590240205060625,0.39852220993653903,-0.9199920484616805
303,Reward,0.05,0.4,0.1,0.1728,0.37822559892602,113215_fnca,0.56,-1.0237276405919193,0.23623040112262433,-1.4429476742606215
161,Punishment,0.05,0.45,0.1,0.1808,0.3850064206674536,113215_fnca,0.1739130434782608,0.017887900440205218,0.39887845933341787,-0.919098521695752
304,Reward,0.05,0.45,0.1,0.1736,0.3789167485370075,113215_fnca,0.56,-1.019749064911713,0.23719264714161611,-1.438882610898829
162,Punishment,0.05,0.5,0.1,0.1784,0.3830023402462538,113215_fnca,0.1739130434782608,0.011715219595927995,0.3989149046508007,-0.919007156389763
305,Reward,0.05,0.5,0.1,0.1672,0.3733036893945902,113215_fnca,0.56,-1.0522264075049144,0.22934479803608374,-1.4725287395300217
163,Punishment,0.05,0.55,0.1,0.1368,0.3437736235422881,113215_fnca,0.1739130434782608,-0.10795779820407157,0.39662422768365535,-0.9247659763012082
306,Reward,0.05,0.55,0.1,0.1392,0.3462936549178299,113215_fnca,0.56,-1.215153653623395,0.1906649205700414,-1.6572377341618154
164,Punishment,0.05,0.6,0.1,0.1888,0.3915062984747453,113215_fnca,0.1739130434782608,0.038024819983067254,0.3986539719138837,-0.919661476672045
307,Reward,0.05,0.6,0.1,0.1872,0.3902281158321483,113215_fnca,0.56,-0.955338646486342,0.25277020138133427,-1.3752744979398506
165,Punishment,0.05,0.65,0.1,0.132,0.3386262455678088,113215_fnca,0.1739130434782608,-0.12377375949693732,0.39589806797129384,-0.9265985049746756
308,Reward,0.05,0.65,0.1,0.1432,0.350416885430591,113215_fnca,0.56,-1.189440398934651,0.1966513796207575,-1.6263227645135834
166,Punishment,0.05,0.7,0.1,0.1576,0.364511364470111,113215_fnca,0.1739130434782608,-0.04475318211813516,0.3985429701376617,-0.919939956859522
309,Reward,0.05,0.7,0.1,0.14,0.3471259096029769,113215_fnca,0.56,-1.2099356123556793,0.19187510254047316,-1.6509106262279287
167,Punishment,0.05,0.75,0.1,0.2048,0.4037169180006008,113215_fnca,0.1739130434782608,0.07650647060991692,0.3977764347614799,-0.9218651532272657
310,Reward,0.05,0.75,0.1,0.1904,0.3927737987768591,113215_fnca,0.56,-0.9409996317243543,0.2562302853631547,-1.3616786866573578
168,Punishment,0.05,0.8,0.1,0.1592,0.3660089206891265,113215_fnca,0.1739130434782608,-0.040198592565883054,0.39862007981199693,-0.9197464966268116
311,Reward,0.05,0.8,0.1,0.1528,0.3599386123267624,113215_fnca,0.56,-1.1313040225601927,0.21037514674419933,-1.5588629289351092
169,Punishment,0.1,0.2,0.1,0.1736,0.3789167485370072,113215_fnca,0.1739130434782608,-0.0008261537117835563,0.3989421442564275,-0.9189388744696504
312,Reward,0.1,0.2,0.1,0.1992,0.3995586035391175,113215_fnca,0.56,-0.9029964485914945,0.26536744558972747,-1.3266398262890984
170,Punishment,0.1,0.25,0.1,0.1992,0.3995586035391179,113215_fnca,0.1739130434782608,0.06328722820071503,0.39814414343468457,-0.9209411698313373
313,Reward,0.1,0.25,0.1,0.2016,0.4013555892811732,113215_fnca,0.56,-0.8929737359379833,0.26776659831341987,-1.3176395797421923
171,Punishment,0.1,0.3,0.1,0.1648,0.3711484351694659,113215_fnca,0.1739130434782608,-0.024553635728249274,0.39882204115887676,-0.9192399737184105
314,Reward,0.1,0.3,0.1,0.1552,0.3622401611465494,113215_fnca,0.56,-1.1174906689494113,0.21366813668351953,-1.543331230799174
